"user_id";"test";"purchase";"impressions"
1;1;0;1
2;1;0;1
3;0;0;2
4;1;0;1
5;1;0;1
6;1;0;1
7;0;0;1
8;0;1;22
9;1;0;1
10;1;0;2
11;1;0;1
12;1;0;1
13;1;0;1
14;1;0;2
15;1;0;1
16;1;0;3
17;1;0;1
18;1;1;1
19;1;0;1
20;1;0;1
21;1;0;1
22;0;0;4
23;1;0;1
24;1;0;2
25;1;0;1
26;1;0;1
27;1;0;1
28;1;1;1
29;1;0;2
30;1;1;1
31;1;0;1
32;1;0;4
33;0;0;3
34;1;0;4
35;1;0;10
36;1;0;1
37;0;0;5
38;1;0;1
39;1;0;2
40;1;0;7
41;1;0;1
42;1;0;2
43;1;0;1
44;1;0;1
45;1;1;3
46;1;0;1
47;1;0;1
48;1;0;2
49;1;0;1
50;1;1;1
51;1;0;19
52;1;0;1
53;1;0;1
54;1;0;1
55;1;0;2
56;1;0;1
57;1;0;1
58;1;0;1
59;1;0;1
60;1;0;1
61;1;0;2
62;1;0;1
63;0;0;1
64;1;0;1
65;1;1;4
66;1;0;3
67;1;0;1
68;1;0;1
69;1;0;13
70;1;0;1
71;1;0;1
72;1;0;1
73;0;0;1
74;0;0;3
75;0;0;1
76;1;0;1
77;1;0;1
78;1;0;1
79;1;0;3
80;1;0;1
81;1;0;5
82;1;0;1
83;1;0;1
84;1;0;3
85;1;0;1
86;1;0;1
87;1;0;1
88;1;0;1
89;1;0;1
90;1;0;1
91;1;0;4
92;1;0;2
93;1;0;19
94;1;0;3
95;1;0;1
96;1;0;1
97;1;0;3
98;1;0;3
99;1;0;1
100;1;0;1
101;1;0;1
102;1;0;1
103;0;0;1
104;1;0;1
105;1;0;1
106;1;0;1
107;1;0;3
108;0;0;1
109;1;0;2
110;1;0;1
111;1;0;1
112;1;0;1
113;1;0;8
114;1;0;1
115;1;0;3
116;1;0;18
117;1;0;1
118;1;0;7
119;1;0;3
120;1;0;1
121;0;0;1
122;1;0;1
123;1;0;4
124;1;0;3
125;1;0;2
126;1;0;1
127;1;0;6
128;1;0;2
129;1;0;1
130;1;0;2
131;1;0;6
132;1;0;1
133;1;0;5
134;1;0;1
135;1;0;1
136;1;0;1
137;1;0;2
138;1;0;1
139;1;0;1
140;1;0;2
141;1;1;1
142;1;0;1
143;1;0;1
144;1;0;29
145;1;0;20
146;1;0;1
147;1;0;1
148;1;0;1
149;1;0;1
150;1;0;1
151;1;0;2
152;0;0;3
153;1;0;1
154;1;0;1
155;1;0;1
156;1;0;1
157;1;0;2
158;1;0;1
159;1;0;1
160;1;0;2
161;1;0;1
162;1;0;1
163;1;0;1
164;1;0;1
165;1;0;3
166;0;0;1
167;1;0;1
168;0;0;3
169;0;0;1
170;0;0;1
171;1;0;1
172;1;0;2
173;1;0;2
174;1;0;2
175;1;0;2
176;1;0;1
177;1;0;1
178;0;0;1
179;1;0;1
180;1;0;2
181;0;0;15
182;1;1;37
183;0;0;1
184;1;0;2
185;1;0;1
186;1;0;2
187;1;0;1
188;1;0;1
189;1;0;5
190;1;0;6
191;1;0;1
192;0;0;2
193;1;0;1
194;1;0;2
195;0;0;1
196;0;0;1
197;1;0;1
198;0;0;1
199;1;0;3
200;1;0;2
201;1;0;1
202;1;0;1
203;1;0;1
204;1;0;1
205;1;0;2
206;1;0;1
207;1;0;1
208;1;0;2
209;1;0;1
210;1;0;1
211;1;0;1
212;1;0;1
213;1;0;1
214;1;0;3
215;0;0;3
216;1;0;1
217;1;0;1
218;1;0;1
219;1;0;3
220;1;0;1
221;1;0;1
222;1;0;1
223;1;0;1
224;1;0;1
225;1;0;2
226;1;0;1
227;0;0;1
228;1;0;1
229;1;0;1
230;1;0;2
231;1;0;1
232;1;0;1
233;1;0;17
234;1;0;2
235;1;0;1
236;1;0;9
237;1;0;1
238;1;0;1
239;1;0;2
240;1;0;1
241;1;0;1
242;1;0;1
243;1;0;2
244;1;0;2
245;1;0;1
246;1;0;1
247;1;0;1
248;0;0;1
249;1;0;3
250;1;0;1
251;1;0;1
252;0;1;1
253;0;0;5
254;1;0;1
255;1;0;13
256;1;0;2
257;1;0;4
258;1;0;2
259;1;0;8
260;1;0;1
261;1;0;5
262;1;0;2
263;1;0;12
264;1;0;7
265;1;0;1
266;1;0;1
267;0;0;6
268;1;0;1
269;1;0;1
270;1;0;2
271;1;0;2
272;1;0;2
273;1;0;1
274;1;0;1
275;1;0;1
276;1;0;1
277;1;0;1
278;1;0;1
279;1;0;2
280;1;0;1
281;1;0;1
282;1;0;1
283;1;0;1
284;0;0;3
285;1;0;3
286;0;0;1
287;1;0;1
288;1;0;1
289;1;0;1
290;1;0;1
291;1;0;1
292;1;0;4
293;1;0;1
294;1;0;18
295;1;0;1
296;1;0;1
297;1;0;2
298;1;0;1
299;1;0;2
300;1;0;1
301;1;0;1
302;1;0;1
303;1;0;1
304;1;0;1
305;1;0;1
306;1;0;2
307;1;0;1
308;0;0;1
309;1;0;45
310;1;0;1
311;1;0;2
312;1;0;2
313;1;0;1
314;1;0;2
315;1;0;1
316;1;0;1
317;1;0;39
318;1;0;6
319;1;0;1
320;0;0;1
321;1;0;12
322;1;0;1
323;1;0;1
324;1;1;1
325;1;0;1
326;1;0;2
327;1;0;1
328;1;0;1
329;1;0;1
330;1;0;1
331;1;0;6
332;1;0;1
333;1;0;15
334;1;0;1
335;0;0;2
336;1;0;35
337;1;0;1
338;1;0;1
339;1;0;1
340;1;0;1
341;1;0;1
342;1;0;1
343;1;0;3
344;1;0;12
345;1;0;1
346;1;0;1
347;1;0;1
348;1;0;1
349;1;0;2
350;1;0;1
351;1;0;6
352;1;0;2
353;1;0;1
354;1;0;1
355;1;0;1
356;1;0;2
357;1;0;5
358;1;0;1
359;1;0;1
360;1;0;3
361;1;0;1
362;1;0;1
363;1;0;1
364;1;0;1
365;1;0;1
366;1;0;2
367;1;0;2
368;1;0;1
369;1;0;3
370;1;0;1
371;1;0;2
372;1;0;2
373;1;0;1
374;1;0;1
375;1;0;1
376;1;0;7
377;1;0;1
378;1;0;1
379;1;0;1
380;1;0;1
381;1;0;1
382;1;0;1
383;0;0;1
384;1;0;1
385;1;0;3
386;1;0;1
387;1;0;1
388;1;0;2
389;1;0;1
390;0;0;3
391;1;0;1
392;1;0;1
393;1;0;1
394;1;0;1
395;1;0;1
396;0;0;1
397;1;0;1
398;0;0;36
399;0;0;1
400;0;0;2
401;1;0;4
402;0;0;3
403;1;0;1
404;0;0;1
405;1;0;1
406;1;0;1
407;1;1;1
408;0;0;5
409;1;0;1
410;1;0;1
411;0;0;2
412;1;0;2
413;1;0;1
414;1;0;2
415;1;0;10
416;1;0;1
417;1;0;5
418;1;0;1
419;0;0;13
420;1;0;1
421;0;0;1
422;1;0;24
423;1;0;1
424;0;0;3
425;1;0;2
426;1;0;2
427;1;0;4
428;0;0;1
429;0;0;1
430;1;0;5
431;1;0;1
432;1;0;1
433;1;0;1
434;0;0;1
435;1;0;5
436;1;0;2
437;1;0;7
438;1;0;1
439;1;0;1
440;1;0;1
