"storeNum";"Year";"Week";"Date";"Weekind";"p1sales";"p2sales";"p1price";"p2price";"p1prom";"p2prom";"compind";"storesize";"city";"citysize";"W";"Post"
"101";2022;1;2022-01-03;1;350;411;2.79;2.99;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;2;2022-01-10;2;350;412;2.29;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;3;2022-01-17;3;342;411;2.19;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;4;2022-01-24;4;342;491;2.79;2.59;0;1;-0.773;115;"OSLO";580000;0;0
"101";2022;5;2022-01-31;5;343;412;2.19;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;6;2022-02-07;6;339;415;2.79;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;7;2022-02-14;7;343;407;2.29;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;8;2022-02-21;8;342;404;2.19;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;9;2022-02-28;9;338;413;2.99;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;10;2022-03-07;10;337;404;2.49;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;11;2022-03-14;11;373;410;2.49;3.19;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;12;2022-03-21;12;337;403;2.49;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;13;2022-03-28;13;341;403;2.49;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;14;2022-04-04;14;330;405;2.99;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;15;2022-04-11;15;367;402;2.49;3.19;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;16;2022-04-18;16;371;479;2.29;2.59;1;1;-0.773;115;"OSLO";580000;0;0
"101";2022;17;2022-04-25;17;341;400;2.49;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;18;2022-05-02;18;362;394;2.29;2.59;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;19;2022-05-09;19;329;399;2.29;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;20;2022-05-16;20;335;396;2.29;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;21;2022-05-23;21;325;399;2.99;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;22;2022-05-30;22;329;393;2.19;2.99;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;23;2022-06-06;23;327;396;2.49;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;24;2022-06-13;24;353;393;2.79;2.29;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;25;2022-06-20;25;326;391;2.19;2.99;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;26;2022-06-27;26;351;472;2.79;2.59;1;1;-0.773;115;"OSLO";580000;0;0
"101";2022;27;2022-07-04;27;325;400;2.79;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;28;2022-07-11;28;321;388;2.79;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;29;2022-07-18;29;323;468;2.79;3.19;0;1;-0.773;115;"OSLO";580000;0;0
"101";2022;30;2022-07-25;30;327;391;2.29;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;31;2022-08-01;31;318;384;2.49;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;32;2022-08-08;32;318;386;2.29;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;33;2022-08-15;33;320;373;2.19;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;34;2022-08-22;34;314;387;2.79;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;35;2022-08-29;35;311;383;2.49;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;36;2022-09-05;36;343;383;2.99;2.49;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;37;2022-09-12;37;316;461;2.79;2.29;0;1;-0.773;115;"OSLO";580000;0;0
"101";2022;38;2022-09-19;38;309;381;2.79;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;39;2022-09-26;39;319;380;2.29;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;40;2022-10-03;40;339;373;2.79;2.49;1;0;-0.773;115;"OSLO";580000;0;0
"101";2022;41;2022-10-10;41;312;379;2.29;2.59;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;42;2022-10-17;42;311;378;2.29;2.49;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;43;2022-10-24;43;306;381;2.79;3.19;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;44;2022-10-31;44;304;379;2.29;2.29;0;0;-0.773;115;"OSLO";580000;0;0
"101";2022;45;2022-11-07;45;309;372;2.29;2.99;0;0;-0.773;115;"OSLO";580000;0;0
